Model,MFG,Mileage,Listing_price (lacs),Original_price (lacs),Age,Price_per_km,Brand_BMW,Brand_BYD,Brand_Bentley,Brand_Chevrolet,Brand_Citroen,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_Isuzu,Brand_Jaguar,Brand_Jeep,Brand_Kia,Brand_Land,Brand_Lexus,Brand_MG,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Rolls-Royce,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Fuel_Diesel,Fuel_Electric,Fuel_LPG,Fuel_Petrol,Transmission_Manual,City_Bangalore,City_Chandigarh,City_Chennai,City_Coimbatore,City_Faridabad,City_Ghaziabad,City_Gurgaon,City_Hyderabad,City_Jaipur,City_Mohali,City_New Delhi,City_Noida,City_Pune,City_Zirakpur
Maruti Wagon R VXI BSVI,1.1444961064694765,-1.5838232975437214,-0.43201384751191085,-0.43201384751191085,-1.1444961064694712,0.03786924926999252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Creta SX Opt Diesel AT,1.4224614392175476,-1.064406853479529,0.8653232733767371,0.8653232733767371,-1.4224614392175423,0.05503464208104221,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Swift AMT ZXI,0.03263477547719175,-0.7083634391508633,-0.38012036267636495,-0.38012036267636495,-0.03263477547718608,-0.06661187788856782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honda WR-V i-VTEC VX,0.03263477547719175,-0.005286591315323008,-0.3067537117019724,-0.3067537117019724,-0.03263477547718608,-0.07540977748178743,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maruti Ignis Sigma,1.4224614392175476,-1.503091482630585,-0.42306669495405813,-0.42306669495405813,-1.4224614392175423,0.0029331392317080507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Creta 1.6 VTVT SX Plus,-0.24533055727087943,0.4349195908884195,-0.1788094301246782,-0.1788094301246782,0.24533055727088518,-0.07577400067176199,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hyundai Verna SX Opt Turbo DCT,1.7004267719656188,-1.622309639464618,0.6192765780357866,0.6192765780357866,-1.7004267719656136,0.4509587693821182,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tata Punch Accomplished,1.1444961064694765,-1.007214359322662,-0.27096510147056146,-0.27096510147056146,-1.1444961064694712,-0.04688082826285585,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kia Sonet HTK Plus,1.7004267719656188,-1.2881646553452064,0.05113239061213736,0.05113239061213736,-1.7004267719656136,0.020182617114823255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahindra Bolero Neo N8 BSVI,1.1444961064694765,-1.0262486896680356,-0.05175986380316923,-0.05175986380316923,-1.1444961064694712,-0.027688618395671213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
